8192,,,,,,,2048,,,,,,,512,,,,,,,128,,,,,,,32,,,,,,,8,,,,
Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss
0.3,32,3.00E-04,,,,,0.3,32,3.00E-04,,,,,0.3,32,3.00E-04,,,,,0.3,32,3.00E-04,,,,,0.3,32,3.00E-04,,,,,0.3,32,3.00E-04,,
0.3,64,3.00E-05,,,,,0.3,64,3.00E-05,,,,,0.3,64,3.00E-05,,,,,0.3,64,3.00E-05,,,,,0.3,64,3.00E-05,,,,,0.3,64,3.00E-05,,
0.3,64,1.00E-04,,,,,0.3,64,1.00E-04,,,,,0.3,64,1.00E-04,,,,,0.3,64,1.00E-04,,,,,0.3,64,1.00E-04,,,,,0.3,64,1.00E-04,,
0.3,64,3.00E-04,,,,,0.3,64,3.00E-04,,,,,0.3,64,3.00E-04,,,,,0.3,64,3.00E-04,,,,,0.3,64,3.00E-04,,,,,0.3,64,3.00E-04,,
0.3,128,3.00E-05,,,,,0.3,128,3.00E-05,,,,,0.3,128,3.00E-05,,,,,0.3,128,3.00E-05,,,,,0.3,128,3.00E-05,,,,,0.3,128,3.00E-05,,
0.3,128,1.00E-04,,,,,0.3,128,1.00E-04,,,,,0.3,128,1.00E-04,,,,,0.3,128,1.00E-04,,,,,0.3,128,1.00E-04,,,,,0.3,128,1.00E-04,,
0.3,128,3.00E-04,,,,,0.3,128,3.00E-04,,,,,0.3,128,3.00E-04,,,,,0.3,128,3.00E-04,,,,,0.3,128,3.00E-04,,,,,0.3,128,3.00E-04,,
0.5,32,3.00E-05,,,,,0.5,32,3.00E-05,,,,,0.5,32,3.00E-05,,,,,0.5,32,3.00E-05,,,,,0.5,32,3.00E-05,,,,,0.5,32,3.00E-05,,
0.5,32,1.00E-04,,,,,0.5,32,1.00E-04,,,,,0.5,32,1.00E-04,,,,,0.5,32,1.00E-04,,,,,0.5,32,1.00E-04,,,,,0.5,32,1.00E-04,,
0.5,32,3.00E-04,,,,,0.5,32,3.00E-04,,,,,0.5,32,3.00E-04,,,,,0.5,32,3.00E-04,,,,,0.5,32,3.00E-04,,,,,0.5,32,3.00E-04,,
0.5,64,3.00E-05,,,,,0.5,64,3.00E-05,,,,,0.5,64,3.00E-05,,,,,0.5,64,3.00E-05,,,,,0.5,64,3.00E-05,,,,,0.5,64,3.00E-05,,
0.5,64,1.00E-04,,,,,0.5,64,1.00E-04,,,,,0.5,64,1.00E-04,,,,,0.5,64,1.00E-04,,,,,0.5,64,1.00E-04,,,,,0.5,64,1.00E-04,,
0.5,64,3.00E-04,,,,,0.5,64,3.00E-04,,,,,0.5,64,3.00E-04,,,,,0.5,64,3.00E-04,,,,,0.5,64,3.00E-04,,,,,0.5,64,3.00E-04,,
0.5,128,3.00E-05,,,,,0.5,128,3.00E-05,,,,,0.5,128,3.00E-05,,,,,0.5,128,3.00E-05,,,,,0.5,128,3.00E-05,,,,,0.5,128,3.00E-05,,
0.5,128,1.00E-04,,,,,0.5,128,1.00E-04,,,,,0.5,128,1.00E-04,,,,,0.5,128,1.00E-04,,,,,0.5,128,1.00E-04,,,,,0.5,128,1.00E-04,,
0.5,128,3.00E-04,,,,,0.5,128,3.00E-04,,,,,0.5,128,3.00E-04,,,,,0.5,128,3.00E-04,,,,,0.5,128,3.00E-04,,,,,0.5,128,3.00E-04,,
