model_name,vocab_size,hidden_dim,group_name,param_name,param_value,batch_size,learning_rate,best_val_loss,best_val_acc_percent,test_acc_percent,status,log_file
v1562_h8,1562,8,batch_norm,batch_norm,true,128,3e-6,0.459200,82.440000,81.680000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_128_lr_3em6.log
v1562_h8,1562,8,batch_norm,batch_norm,true,128,1e-5,0.341700,85.640000,85.020000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_128_lr_1em5.log
v1562_h8,1562,8,batch_norm,batch_norm,true,128,3e-5,0.342300,85.520000,84.920000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_128_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,32,3e-6,0.763600,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_32_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,32,1e-5,0.342800,85.660000,85.780000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_32_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,32,3e-5,0.342600,85.640000,85.780000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_32_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,64,3e-6,0.761500,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_64_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,64,1e-5,0.342900,85.620000,85.700000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_64_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,64,3e-5,0.342800,85.680000,85.720000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_64_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,128,3e-6,0.758900,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_128_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,128,1e-5,0.770000,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_128_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.01,128,3e-5,0.343000,85.640000,85.740000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p01_bs_128_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,32,3e-6,0.787600,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_32_lr_3em6.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,32,1e-5,0.343700,85.700000,85.930000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_32_lr_1em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,32,3e-5,0.345900,85.620000,85.870000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_32_lr_3em5.log
v1562_h8,1562,8,np_reg,np_reg_lambda,0.1,64,3e-6,0.769000,49.880000,50.000000,ok,grid_results/final/logs/v1562_h8_np_reg_np_reg_lambda_0p1_bs_64_lr_3em6.log
