8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
1.00E-04,64,1.00E-04,59.18,1.235285,,1.00E-04,64,1.00E-04,58.24,1.243444,,1.00E-04,64,1.00E-04,57.16,1.24556,,1.00E-04,64,1.00E-04,54,1.330746,,1.00E-04,64,1.00E-04,48.36,1.467953,,1.00E-04,64,1.00E-04,37.16,1.754904
1.00E-04,128,1.00E-05,60.48,1.166045,,1.00E-04,128,1.00E-05,58.96,1.221101,,1.00E-04,128,1.00E-05,55.86,1.286536,,1.00E-04,128,1.00E-05,50.18,1.439606,,1.00E-04,128,1.00E-05,43.52,1.597497,,1.00E-04,128,1.00E-05,33.34,1.871125
1.00E-04,128,3.00E-05,61.86,1.147534,,1.00E-04,128,3.00E-05,59.54,1.197902,,1.00E-04,128,3.00E-05,57.48,1.252563,,1.00E-04,128,3.00E-05,51.7,1.398694,,1.00E-04,128,3.00E-05,45.66,1.542399,,1.00E-04,128,3.00E-05,33.62,1.858177
1.00E-04,128,1.00E-04,59.56,1.209493,,1.00E-04,128,1.00E-04,59.58,1.220209,,1.00E-04,128,1.00E-04,57.9,1.234299,,1.00E-04,128,1.00E-04,53.64,1.343549,,1.00E-04,128,1.00E-04,47.78,1.485706,,1.00E-04,128,1.00E-04,37.34,1.74382
1.00E-04,256,1.00E-05,60.54,1.161454,,1.00E-04,256,1.00E-05,58.22,1.23351,,1.00E-04,256,1.00E-05,54.32,1.332418,,1.00E-04,256,1.00E-05,49.28,1.465386,,1.00E-04,256,1.00E-05,44.04,1.595184,,1.00E-04,256,1.00E-05,33.66,1.857965
1.00E-04,256,3.00E-05,61.38,1.146344,,1.00E-04,256,3.00E-05,59.32,1.208262,,1.00E-04,256,3.00E-05,57.14,1.261066,,1.00E-04,256,3.00E-05,52.52,1.379274,,1.00E-04,256,3.00E-05,46.66,1.510581,,1.00E-04,256,3.00E-05,33.62,1.852764
1.00E-04,256,1.00E-04,60.36,1.18569,,1.00E-04,256,1.00E-04,59.5,1.204424,,1.00E-04,256,1.00E-04,57.68,1.242767,,1.00E-04,256,1.00E-04,53.78,1.354404,,1.00E-04,256,1.00E-04,47.94,1.504687,,1.00E-04,256,1.00E-04,33.92,1.840268
1.00E-03,64,1.00E-05,62.18,1.131371,,1.00E-03,64,1.00E-05,58.84,1.218031,,1.00E-03,64,1.00E-05,55.32,1.308326,,1.00E-03,64,1.00E-05,51.16,1.416448,,1.00E-03,64,1.00E-05,44.44,1.566029,,1.00E-03,64,1.00E-05,31.74,1.886873
1.00E-03,64,3.00E-05,61.94,1.15526,,1.00E-03,64,3.00E-05,59.5,1.2006,,1.00E-03,64,3.00E-05,58,1.234694,,1.00E-03,64,3.00E-05,52.2,1.384169,,1.00E-03,64,3.00E-05,46.26,1.53255,,1.00E-03,64,3.00E-05,33.68,1.847298
1.00E-03,64,1.00E-04,58.9,1.239719,,1.00E-03,64,1.00E-04,58.9,1.24119,,1.00E-03,64,1.00E-04,57.54,1.255268,,1.00E-03,64,1.00E-04,54.5,1.315872,,1.00E-03,64,1.00E-04,48.38,1.451384,,1.00E-03,64,1.00E-04,37.12,1.759306
1.00E-03,128,1.00E-05,60.48,1.166045,,1.00E-03,128,1.00E-05,58.96,1.221101,,1.00E-03,128,1.00E-05,55.86,1.286536,,1.00E-03,128,1.00E-05,50.18,1.439606,,1.00E-03,128,1.00E-05,43.52,1.597497,,1.00E-03,128,1.00E-05,33.34,1.871125
1.00E-03,128,3.00E-05,61.74,1.150332,,1.00E-03,128,3.00E-05,59.66,1.190095,,1.00E-03,128,3.00E-05,58.02,1.241358,,1.00E-03,128,3.00E-05,51.68,1.395469,,1.00E-03,128,3.00E-05,47.12,1.504788,,1.00E-03,128,3.00E-05,33.66,1.858304
1.00E-03,128,1.00E-04,59.58,1.225465,,1.00E-03,128,1.00E-04,59.54,1.221277,,1.00E-03,128,1.00E-04,57.9,1.235537,,1.00E-03,128,1.00E-04,54.22,1.343252,,1.00E-03,128,1.00E-04,47.7,1.488118,,1.00E-03,128,1.00E-04,37.2,1.744324
1.00E-03,256,1.00E-05,60.54,1.161454,,1.00E-03,256,1.00E-05,58.22,1.23351,,1.00E-03,256,1.00E-05,54.32,1.332418,,1.00E-03,256,1.00E-05,49.28,1.465386,,1.00E-03,256,1.00E-05,44.04,1.595184,,1.00E-03,256,1.00E-05,33.66,1.857965
1.00E-03,256,3.00E-05,60.94,1.155599,,1.00E-03,256,3.00E-05,59.06,1.20819,,1.00E-03,256,3.00E-05,56.24,1.275795,,1.00E-03,256,3.00E-05,52.42,1.386138,,1.00E-03,256,3.00E-05,44.76,1.555719,,1.00E-03,256,3.00E-05,33.62,1.85262
1.00E-03,256,1.00E-04,60.58,1.192313,,1.00E-03,256,1.00E-04,58.92,1.206492,,1.00E-03,256,1.00E-04,57.68,1.245628,,1.00E-03,256,1.00E-04,52.96,1.388406,,1.00E-03,256,1.00E-04,49,1.474257,,1.00E-03,256,1.00E-04,33.94,1.839785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,,,,,,Dropout,,,,,,Dropout,,,,,,Dropout,,,,,,Dropout,,,,,,Dropout,,,,
p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss,,p,batch size,learning rate,accuracy,val loss
0.1,64,1.00E-05,61.18,1.144236,,0.1,64,1.00E-05,59.32,1.195472,,0.1,64,1.00E-05,57.3,1.243052,,0.1,64,1.00E-05,52.62,1.364807,,0.1,64,1.00E-05,46.26,1.512845,,0.1,64,1.00E-05,36.46,1.786352
0.1,64,3.00E-05,60.76,1.175067,,0.1,64,3.00E-05,59.34,1.206708,,0.1,64,3.00E-05,57.84,1.224994,,0.1,64,3.00E-05,53.86,1.338851,,0.1,64,3.00E-05,46.86,1.508263,,0.1,64,3.00E-05,37.94,1.750862
0.1,64,1.00E-04,58.72,1.248787,,0.1,64,1.00E-04,58.7,1.243901,,0.1,64,1.00E-04,58.84,1.210221,,0.1,64,1.00E-04,55.96,1.285326,,0.1,64,1.00E-04,49.4,1.453792,,0.1,64,1.00E-04,38.12,1.730012
0.1,128,1.00E-05,60.16,1.169856,,0.1,128,1.00E-05,58.38,1.22605,,0.1,128,1.00E-05,55.9,1.289034,,0.1,128,1.00E-05,51.24,1.40626,,0.1,128,1.00E-05,45.86,1.537329,,0.1,128,1.00E-05,36.28,1.796039
0.1,128,3.00E-05,62.46,1.131317,,0.1,128,3.00E-05,60.34,1.180153,,0.1,128,3.00E-05,57.54,1.24582,,0.1,128,3.00E-05,54.26,1.351491,,0.1,128,3.00E-05,46.76,1.51127,,0.1,128,3.00E-05,37.46,1.746403
0.1,128,1.00E-04,59.24,1.223295,,0.1,128,1.00E-04,59.7,1.210509,,0.1,128,1.00E-04,59.9,1.213048,,0.1,128,1.00E-04,56.42,1.287704,,0.1,128,1.00E-04,49.76,1.453304,,0.1,128,1.00E-04,37.96,1.734107
0.1,256,1.00E-05,62.6,1.122542,,0.1,256,1.00E-05,58.38,1.22599,,0.1,256,1.00E-05,55.98,1.302494,,0.1,256,1.00E-05,50.72,1.41211,,0.1,256,1.00E-05,46.08,1.545783,,0.1,256,1.00E-05,36.26,1.806885
0.1,256,3.00E-05,62.6,1.129258,,0.1,256,3.00E-05,60.52,1.182026,,0.1,256,3.00E-05,59.98,1.19776,,0.1,256,3.00E-05,53.6,1.350666,,0.1,256,3.00E-05,48.34,1.485186,,0.1,256,3.00E-05,38.1,1.750346
0.1,256,1.00E-04,60.2,1.194757,,0.1,256,1.00E-04,59.2,1.207285,,0.1,256,1.00E-04,59.36,1.20203,,0.1,256,1.00E-04,54.12,1.328759,,0.1,256,1.00E-04,48.36,1.477325,,0.1,256,1.00E-04,38.28,1.737273
0.3,64,1.00E-05,61.76,1.142537,,0.3,64,1.00E-05,59.16,1.201297,,0.3,64,1.00E-05,56.9,1.266726,,0.3,64,1.00E-05,51.14,1.409086,,0.3,64,1.00E-05,45.54,1.574737,,0.3,64,1.00E-05,35.8,1.815425
0.3,64,3.00E-05,61.12,1.183044,,0.3,64,3.00E-05,59.68,1.192369,,0.3,64,3.00E-05,59.62,1.202568,,0.3,64,3.00E-05,54.02,1.336931,,0.3,64,3.00E-05,46.78,1.538984,,0.3,64,3.00E-05,37.08,1.778931
0.3,64,1.00E-04,59.46,1.263546,,0.3,64,1.00E-04,59.64,1.225627,,0.3,64,1.00E-04,59.7,1.195441,,0.3,64,1.00E-04,54.42,1.319931,,0.3,64,1.00E-04,48.22,1.502719,,0.3,64,1.00E-04,37.32,1.77571
0.3,128,1.00E-05,61.66,1.144345,,0.3,128,1.00E-05,58.22,1.235251,,0.3,128,1.00E-05,56.16,1.296125,,0.3,128,1.00E-05,52.14,1.397017,,0.3,128,1.00E-05,45.08,1.593314,,0.3,128,1.00E-05,36.72,1.796793
0.3,128,3.00E-05,61.56,1.162884,,0.3,128,3.00E-05,61.48,1.160126,,0.3,128,3.00E-05,59.22,1.212899,,0.3,128,3.00E-05,52.7,1.382819,,0.3,128,3.00E-05,45.86,1.55969,,0.3,128,3.00E-05,36.72,1.791592
0.3,128,1.00E-04,59.26,1.244929,,0.3,128,1.00E-04,59.82,1.211887,,0.3,128,1.00E-04,60.72,1.162352,,0.3,128,1.00E-04,54,1.32942,,0.3,128,1.00E-04,47.94,1.512115,,0.3,128,1.00E-04,36.42,1.780792
0.3,256,1.00E-05,61.02,1.15833,,0.3,256,1.00E-05,58.9,1.234745,,0.3,256,1.00E-05,54.02,1.330992,,0.3,256,1.00E-05,50.8,1.436016,,0.3,256,1.00E-05,45.2,1.586602,,0.3,256,1.00E-05,36.02,1.815239
0.3,256,3.00E-05,61.38,1.163453,,0.3,256,3.00E-05,60.74,1.186067,,0.3,256,3.00E-05,58.26,1.235065,,0.3,256,3.00E-05,54.14,1.335662,,0.3,256,3.00E-05,46.4,1.553266,,0.3,256,3.00E-05,36.02,1.803462
0.3,256,1.00E-04,60.22,1.21663,,0.3,256,1.00E-04,61.02,1.184224,,0.3,256,1.00E-04,60.2,1.180483,,0.3,256,1.00E-04,53.62,1.336266,,0.3,256,1.00E-04,47.24,1.527086,,0.3,256,1.00E-04,37.42,1.774481
0.5,64,1.00E-05,60.08,1.2075,,0.5,64,1.00E-05,59.32,1.215027,,0.5,64,1.00E-05,55.24,1.299319,,0.5,64,1.00E-05,50.2,1.456809,,0.5,64,1.00E-05,43.34,1.646383,,0.5,64,1.00E-05,35.14,1.867485
0.5,64,3.00E-05,60.16,1.210855,,0.5,64,3.00E-05,60.26,1.189364,,0.5,64,3.00E-05,57.96,1.236367,,0.5,64,3.00E-05,51.62,1.405158,,0.5,64,3.00E-05,45.02,1.606905,,0.5,64,3.00E-05,34.98,1.863513
0.5,64,1.00E-04,58.66,1.284992,,0.5,64,1.00E-04,59.48,1.225602,,0.5,64,1.00E-04,58.32,1.231019,,0.5,64,1.00E-04,52.38,1.387567,,0.5,64,1.00E-04,45.66,1.590552,,0.5,64,1.00E-04,35.98,1.851489
0.5,128,1.00E-05,60.02,1.20,,0.5,128,1.00E-05,55.56,1.29,,0.5,128,1.00E-05,53.94,1.34,,0.5,128,1.00E-05,50.7,1.44,,0.5,128,1.00E-05,44.18,1.64,,0.5,128,1.00E-05,34.18,1.88
0.5,128,3.00E-05,60.14,1.20451,,0.5,128,3.00E-05,59.42,1.208004,,0.5,128,3.00E-05,57.98,1.23039,,0.5,128,3.00E-05,51.7,1.408523,,0.5,128,3.00E-05,44.78,1.615982,,0.5,128,3.00E-05,35.28,1.857859
0.5,128,1.00E-04,58.8,1.256787,,0.5,128,1.00E-04,60.08,1.21037,,0.5,128,1.00E-04,57.88,1.225333,,0.5,128,1.00E-04,52.7,1.368843,,0.5,128,1.00E-04,45.24,1.592182,,0.5,128,1.00E-04,35.94,1.8531
0.5,256,1.00E-05,60.44,1.183103,,0.5,256,1.00E-05,58.52,1.231427,,0.5,256,1.00E-05,53.14,1.356206,,0.5,256,1.00E-05,49.18,1.473881,,0.5,256,1.00E-05,43.5,1.647314,,0.5,256,1.00E-05,33.74,1.884033
0.5,256,3.00E-05,60.62,1.189641,,0.5,256,3.00E-05,60.3,1.185238,,0.5,256,3.00E-05,57.44,1.254686,,0.5,256,3.00E-05,50.9,1.427289,,0.5,256,3.00E-05,43.88,1.636596,,0.5,256,3.00E-05,35.2,1.867232
0.5,256,1.00E-04,59.54,1.238113,,0.5,256,1.00E-04,59.92,1.216,,0.5,256,1.00E-04,59.1,1.210215,,0.5,256,1.00E-04,52.84,1.368331,,0.5,256,1.00E-04,45.46,1.606231,,0.5,256,1.00E-04,34.7,1.861246
8192,,,,,,2048,,,,,,512,,,,,,,,,,,,,,,,,,,,,,
NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,
