8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
0.01,32,1.00E-04,93.65%,0.281725,,0.01,32,1.00E-04,94.00%,0.264636,,0.01,32,1.00E-04,93.67%,0.252907,,0.01,32,1.00E-04,92.80%,0.243845,,0.01,32,1.00E-04,92.56%,0.222649,,0.01,32,1.00E-04,91.99%,0.227332
0.01,32,3.00E-04,93.33%,0.303817,,0.01,32,3.00E-04,93.53%,0.294476,,0.01,32,3.00E-04,93.59%,0.283818,,0.01,32,3.00E-04,93.01%,0.306901,,0.01,32,3.00E-04,92.60%,0.267437,,0.01,32,3.00E-04,92.20%,0.262275
0.01,64,3.00E-05,93.78%,0.208106,,0.01,64,3.00E-05,93.05%,0.207571,,0.01,64,3.00E-05,92.48%,0.222757,,0.01,64,3.00E-05,91.43%,0.235383,,0.01,64,3.00E-05,89.10%,0.313888,,0.01,64,3.00E-05,85.97%,0.502304
0.01,64,1.00E-04,93.85%,0.239454,,0.01,64,1.00E-04,93.79%,0.236161,,0.01,64,1.00E-04,93.07%,0.240463,,0.01,64,1.00E-04,92.59%,0.228616,,0.01,64,1.00E-04,92.08%,0.225235,,0.01,64,1.00E-04,91.11%,0.254166
0.01,64,3.00E-04,92.94%,0.339442,,0.01,64,3.00E-04,93.69%,0.262341,,0.01,64,3.00E-04,93.72%,0.263578,,0.01,64,3.00E-04,93.11%,0.258012,,0.01,64,3.00E-04,92.45%,0.241117,,0.01,64,3.00E-04,91.91%,0.249988
0.01,128,3.00E-05,93.29%,0.197355,,0.01,128,3.00E-05,92.77%,0.208037,,0.01,128,3.00E-05,91.69%,0.236564,,0.01,128,3.00E-05,89.79%,0.294867,,0.01,128,3.00E-05,85.94%,0.451288,,0.01,128,3.00E-05,77.78%,0.778971
0.01,128,1.00E-04,93.73%,0.220097,,0.01,128,1.00E-04,93.19%,0.220615,,0.01,128,1.00E-04,92.67%,0.233301,,0.01,128,1.00E-04,92.29%,0.223963,,0.01,128,1.00E-04,90.62%,0.256859,,0.01,128,1.00E-04,89.10%,0.351936
0.01,128,3.00E-04,93.89%,0.244035,,0.01,128,3.00E-04,93.59%,0.248761,,0.01,128,3.00E-04,93.24%,0.253134,,0.01,128,3.00E-04,92.63%,0.245873,,0.01,128,3.00E-04,92.37%,0.230005,,0.01,128,3.00E-04,91.77%,0.244408
0.1,32,3.00E-05,93.80%,0.214679,,0.1,32,3.00E-05,93.67%,0.201874,,0.1,32,3.00E-05,92.54%,0.208370,,0.1,32,3.00E-05,91.51%,0.237580,,0.1,32,3.00E-05,89.01%,0.318409,,0.1,32,3.00E-05,79.82%,0.615844
0.1,32,1.00E-04,93.83%,0.257718,,0.1,32,1.00E-04,93.63%,0.261779,,0.1,32,1.00E-04,93.43%,0.227263,,0.1,32,1.00E-04,92.22%,0.230952,,0.1,32,1.00E-04,91.98%,0.221528,,0.1,32,1.00E-04,89.90%,0.287068
0.1,32,3.00E-04,92.98%,0.311767,,0.1,32,3.00E-04,93.01%,0.310014,,0.1,32,3.00E-04,93.55%,0.281400,,0.1,32,3.00E-04,93.13%,0.267479,,0.1,32,3.00E-04,92.37%,0.236120,,0.1,32,3.00E-04,91.95%,0.241385
0.1,64,3.00E-05,93.69%,0.192905,,0.1,64,3.00E-05,93.23%,0.192506,,0.1,64,3.00E-05,91.74%,0.225913,,0.1,64,3.00E-05,89.42%,0.297357,,0.1,64,3.00E-05,83.81%,0.513083,,0.1,64,3.00E-05,65.36%,0.921093
0.1,64,1.00E-04,93.78%,0.232670,,0.1,64,1.00E-04,93.75%,0.219628,,0.1,64,1.00E-04,92.67%,0.216156,,0.1,64,1.00E-04,92.08%,0.229966,,0.1,64,1.00E-04,90.38%,0.262286,,0.1,64,1.00E-04,84.76%,0.460731
0.1,64,3.00E-04,93.55%,0.236062,,0.1,64,3.00E-04,93.46%,0.250339,,0.1,64,3.00E-04,93.48%,0.247357,,0.1,64,3.00E-04,92.31%,0.248623,,0.1,64,3.00E-04,92.00%,0.237783,,0.1,64,3.00E-04,90.63%,0.264219
0.1,128,3.00E-05,93.40%,0.187081,,0.1,128,3.00E-05,92.76%,0.197345,,0.1,128,3.00E-05,90.31%,0.275408,,0.1,128,3.00E-05,86.15%,0.443924,,0.1,128,3.00E-05,76.89%,0.791102,,0.1,128,3.00E-05,42.70%,1.712389
0.1,128,1.00E-04,93.75%,0.205097,,0.1,128,1.00E-04,93.30%,0.203446,,0.1,128,1.00E-04,92.44%,0.220245,,0.1,128,1.00E-04,90.59%,0.255046,,0.1,128,1.00E-04,86.99%,0.374500,,0.1,128,1.00E-04,73.57%,0.745429
0.1,128,3.00E-04,93.40%,0.250505,,0.1,128,3.00E-04,93.60%,0.232017,,0.1,128,3.00E-04,93.02%,0.226263,,0.1,128,3.00E-04,92.23%,0.236132,,0.1,128,3.00E-04,91.24%,0.242568,,0.1,128,3.00E-04,86.74%,0.367713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,,,Weight decay,,,,
lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss
1.00E-05,32,3.00E-05,93.25%,0.322449,,1.00E-05,32,3.00E-05,93.16%,0.277538,,1.00E-05,32,3.00E-05,92.78%,0.253233,,1.00E-05,32,3.00E-05,92.55%,0.219023,,1.00E-05,32,3.00E-05,91.81%,0.231840,,1.00E-05,32,3.00E-05,90.29%,0.281596
1.00E-05,32,1.00E-04,93.33%,0.413997,,1.00E-05,32,1.00E-04,93.42%,0.369280,,1.00E-05,32,1.00E-04,93.21%,0.343076,,1.00E-05,32,1.00E-04,93.07%,0.281110,,1.00E-05,32,1.00E-04,92.57%,0.254046,,1.00E-05,32,1.00E-04,91.95%,0.229106
1.00E-05,32,3.00E-04,93.29%,0.568486,,1.00E-05,32,3.00E-04,93.24%,0.522682,,1.00E-05,32,3.00E-04,92.78%,0.473431,,1.00E-05,32,3.00E-04,93.17%,0.392471,,1.00E-05,32,3.00E-04,92.67%,0.350793,,1.00E-05,32,3.00E-04,92.72%,0.264695
1.00E-05,64,3.00E-05,93.17%,0.263951,,1.00E-05,64,3.00E-05,92.73%,0.243656,,1.00E-05,64,3.00E-05,92.54%,0.232279,,1.00E-05,64,3.00E-05,91.99%,0.223542,,1.00E-05,64,3.00E-05,90.32%,0.271333,,1.00E-05,64,3.00E-05,88.12%,0.398620
1.00E-05,64,1.00E-04,93.28%,0.341548,,1.00E-05,64,1.00E-04,93.17%,0.317532,,1.00E-05,64,1.00E-04,92.97%,0.284993,,1.00E-05,64,1.00E-04,92.72%,0.243637,,1.00E-05,64,1.00E-04,92.43%,0.236409,,1.00E-05,64,1.00E-04,91.48%,0.238277
1.00E-05,64,3.00E-04,93.18%,0.408206,,1.00E-05,64,3.00E-04,93.30%,0.387733,,1.00E-05,64,3.00E-04,93.11%,0.375676,,1.00E-05,64,3.00E-04,93.05%,0.324370,,1.00E-05,64,3.00E-04,92.82%,0.280407,,1.00E-05,64,3.00E-04,92.18%,0.245457
1.00E-05,128,3.00E-05,92.82%,0.232985,,1.00E-05,128,3.00E-05,92.68%,0.224825,,1.00E-05,128,3.00E-05,91.95%,0.230459,,1.00E-05,128,3.00E-05,90.69%,0.256880,,1.00E-05,128,3.00E-05,88.37%,0.359111,,1.00E-05,128,3.00E-05,83.24%,0.607013
1.00E-05,128,1.00E-04,93.15%,0.295631,,1.00E-05,128,1.00E-04,92.80%,0.274037,,1.00E-05,128,1.00E-04,92.73%,0.253612,,1.00E-05,128,1.00E-04,92.48%,0.227974,,1.00E-05,128,1.00E-04,91.65%,0.237859,,1.00E-05,128,1.00E-04,90.24%,0.282723
1.00E-05,128,3.00E-04,93.39%,0.352360,,1.00E-05,128,3.00E-04,93.09%,0.341815,,1.00E-05,128,3.00E-04,92.87%,0.318151,,1.00E-05,128,3.00E-04,92.72%,0.278186,,1.00E-05,128,3.00E-04,92.42%,0.255742,,1.00E-05,128,3.00E-04,91.97%,0.237878
1.00E-04,32,3.00E-05,93.25%,0.322449,,1.00E-04,32,3.00E-05,93.16%,0.277538,,1.00E-04,32,3.00E-05,92.78%,0.253233,,1.00E-04,32,3.00E-05,92.55%,0.219023,,1.00E-04,32,3.00E-05,91.81%,0.231840,,1.00E-04,32,3.00E-05,90.29%,0.281596
1.00E-04,32,1.00E-04,93.33%,0.413997,,1.00E-04,32,1.00E-04,93.42%,0.369280,,1.00E-04,32,1.00E-04,93.21%,0.343076,,1.00E-04,32,1.00E-04,93.07%,0.281110,,1.00E-04,32,1.00E-04,92.57%,0.254046,,1.00E-04,32,1.00E-04,91.95%,0.229106
1.00E-04,32,3.00E-04,93.49%,0.557952,,1.00E-04,32,3.00E-04,93.37%,0.465250,,1.00E-04,32,3.00E-04,92.90%,0.480907,,1.00E-04,32,3.00E-04,93.27%,0.380320,,1.00E-04,32,3.00E-04,92.67%,0.349467,,1.00E-04,32,3.00E-04,92.69%,0.263352
1.00E-04,64,3.00E-05,93.17%,0.263951,,1.00E-04,64,3.00E-05,92.73%,0.243656,,1.00E-04,64,3.00E-05,92.54%,0.232279,,1.00E-04,64,3.00E-05,91.99%,0.223542,,1.00E-04,64,3.00E-05,90.32%,0.271333,,1.00E-04,64,3.00E-05,88.12%,0.398620
1.00E-04,64,1.00E-04,93.28%,0.341548,,1.00E-04,64,1.00E-04,93.17%,0.317532,,1.00E-04,64,1.00E-04,92.97%,0.284993,,1.00E-04,64,1.00E-04,92.72%,0.243637,,1.00E-04,64,1.00E-04,92.43%,0.236409,,1.00E-04,64,1.00E-04,91.48%,0.238277
1.00E-04,64,3.00E-04,93.19%,0.406821,,1.00E-04,64,3.00E-04,93.40%,0.389078,,1.00E-04,64,3.00E-04,93.13%,0.374895,,1.00E-04,64,3.00E-04,93.19%,0.322298,,1.00E-04,64,3.00E-04,92.72%,0.280718,,1.00E-04,64,3.00E-04,92.18%,0.245382
1.00E-04,128,3.00E-05,92.82%,0.232985,,1.00E-04,128,3.00E-05,92.68%,0.224825,,1.00E-04,128,3.00E-05,91.95%,0.230459,,1.00E-04,128,3.00E-05,90.69%,0.256880,,1.00E-04,128,3.00E-05,88.37%,0.359111,,1.00E-04,128,3.00E-05,83.24%,0.607013
1.00E-04,128,1.00E-04,93.15%,0.295631,,1.00E-04,128,1.00E-04,92.80%,0.274037,,1.00E-04,128,1.00E-04,92.73%,0.253612,,1.00E-04,128,1.00E-04,92.48%,0.227974,,1.00E-04,128,1.00E-04,91.65%,0.237859,,1.00E-04,128,1.00E-04,90.24%,0.282723
